code,hex,red,green,blue,bead_count
P01,#1B1816,27,24,22,184
P02,#281D16,40,29,22,244
P03,#3F2E21,63,46,33,140
P04,#333535,51,53,53,153
P05,#593C2A,89,60,42,130
P06,#4F443B,79,68,59,63
P07,#6C4725,108,71,37,30
P08,#515050,81,80,80,121
P09,#6D4B34,109,75,52,400
P10,#865126,134,81,38,27
P11,#3D6970,61,105,112,22
P12,#796353,121,99,83,57
P13,#895E4D,137,94,77,103
P14,#706B6A,112,107,106,152
P15,#A25F28,162,95,40,45
P16,#8D8684,141,134,132,299
P17,#A38E79,163,142,121,61
P18,#BE8972,190,137,114,62
P19,#ACA5A4,172,165,164,209
P20,#C8BAAE,200,186,174,166
P21,#D3BA93,211,186,147,62
P22,#E5B396,229,179,150,359
P23,#D6D1D5,214,209,213,388
P24,#E0D3C6,224,211,198,527
P25,#7E915C,126,145,92,2
