row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
1,,,,,,,,,,,,,,,,,P03,P03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,P03,P17,P23,P03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,,,,,,,,,P03,P03,P03,P03,P03,P03,P03,P03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,,,,,,,P03,P03,P23,P23,P23,P23,P23,P23,P23,P23,P03,P03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,,,,,P03,P03,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P03,P03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,,,P03,P03,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,,,P03,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P03,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,,P03,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P03,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,,P03,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P03,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,P03,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P19,P03,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,P03,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P03,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,P03,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P03,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,P03,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P03,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,P03,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P19,P03,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,P03,P23,P23,P23,P23,P23,P19,P17,P21,P15,P14,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P03,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,P03,P23,P23,P23,P19,P19,P15,P18,P22,P22,P22,P18,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P03,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,P03,P23,P23,P23,P17,P21,P18,P22,P22,P22,P22,P22,P21,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P03,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,P03,P19,P23,P17,P23,P21,P22,P22,P22,P22,P22,P22,P22,P21,P19,P23,P23,P23,P23,P23,P19,P19,P23,P23,P23,P23,P03,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,P03,P19,P19,P19,P19,P18,P22,P22,P22,P22,P22,P22,P22,P22,P21,P19,P23,P23,P23,P23,P23,P19,P17,P17,P19,P23,P23,P03,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,P03,P19,P19,P19,P19,P22,P22,P22,P22,P22,P22,P22,P22,P22,P21,P21,P15,P23,P23,P23,P23,P23,P23,P17,P17,P17,P17,P03,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,P03,P17,P19,P19,P15,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P21,P22,P18,P17,P23,P23,P23,P23,P23,P19,P17,P17,P03,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,P03,P19,P17,P11,P18,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P19,P08,P07,P11,P17,P23,P23,P23,P23,P19,P19,P03,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,,P03,P17,P11,P11,P05,P05,P08,P15,P18,P22,P22,P22,P11,P04,P03,P16,P04,P01,P07,P11,P16,P17,P19,P19,P19,P03,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,,P03,P17,P11,P11,P01,P25,P04,P04,P05,P18,P22,P11,P07,P04,P16,P25,P16,P14,P18,P11,P14,P17,P17,P17,P03,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,,,,,,P03,P19,P15,P18,P05,P08,P08,P11,P18,P18,P22,P22,P22,P18,P11,P05,P05,P18,P18,P18,P14,P17,P17,P17,P17,P03,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,,P03,P03,,,,P03,P19,P14,P22,P18,P18,P18,P22,P22,P22,P22,P22,P22,P22,P22,P22,P18,P22,P22,P18,P08,P17,P23,P19,P17,P23,P03,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,,P03,P03,P03,,,,P03,P19,P10,P18,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P18,P22,P18,P08,P17,P23,P23,P23,P23,P03,,,,,,,,,,,,,,,,,,,,,
