code,hex,red,green,blue,bead_count
P01,#0D0E10,13,14,16,1104
P02,#161515,22,21,21,355
P03,#221813,34,24,19,49
P04,#1E1C1B,30,28,27,574
P05,#332925,51,41,37,100
P06,#4A3223,74,50,35,84
P07,#67452D,103,69,45,98
P08,#794845,121,72,69,63
P09,#845B3B,132,91,59,116
P10,#8C6D54,140,109,84,51
P11,#AB6664,171,102,100,108
P12,#AA7047,170,112,71,71
P13,#C27575,194,117,117,519
P14,#AD835D,173,131,93,87
P15,#9F8A76,159,138,118,36
P16,#CA8556,202,133,86,75
P17,#D28483,210,132,131,367
P18,#E0918E,224,145,142,1525
P19,#EE946E,238,148,110,25
P20,#D3A375,211,163,117,89
P21,#E79F69,231,159,105,225
P22,#CBAD8F,203,173,143,58
P23,#F2B681,242,182,129,167
P24,#FCC791,252,199,145,1371
P25,#EBCDAE,235,205,174,409
P26,#F4D8B8,244,216,184,221
P27,#FCE2C3,252,226,195,852
P28,#FCE2C2,252,226,194,1261
