row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,F11,F11,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,F11,,,F11,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,F11,,,F11,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,F11,F11,F11,F11,F11,F11,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,F11,F11,F10,F10,F10,F10,F11,F11,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,F11,F11,F10,F10,F10,F10,F10,F10,F11,F11,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,F11,F11,F10,F10,F10,F10,F10,F10,F10,F10,F11,F11,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,F11,F10,F10,F10,F10,F10,F10,F10,F10,F10,F10,F11,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,F11,F10,F10,F10,F10,F10,F10,F10,F10,F10,F10,F11,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,F11,F10,F10,F10,F10,G20,G7,F10,F10,F10,G8,F11,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,F11,F10,F10,F10,F10,G20,G20,F10,F10,F10,G8,F11,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,F11,F10,F10,F10,F10,F13,G20,F10,F10,F10,G8,F11,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,F11,F10,F10,F10,F10,F13,F13,F10,F10,F10,F10,F11,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,F11,F10,F10,F10,G20,F13,F13,G7,F10,F10,F10,F11,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,F11,F11,F10,F10,F10,G20,F13,F13,G20,F10,F10,F10,F11,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,F11,F10,F10,F10,F10,F13,F13,F13,G20,F10,F10,F10,F11,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,F11,G8,F10,F10,G20,F13,F13,F13,F13,F10,F10,F10,F11,,,,,,,,,,,,,,,,,,,
